date	apple	banana	avocado	grape	grapefruit	orange	strawberry	peach	mango	watermelon	pear	blackberry	pineapple	cantaloupe	kiwifruit	papaya	apricot	pomegranate	cranberry	coconut
2007-01	45	9	1	2	1	26	3	2	1	0	1	11	2	0	1	1	0	1	1	3
2007-02	36	9	1	2	1	25	4	2	1	0	1	11	2	0	1	1	0	0	1	3
2007-03	34	9	1	2	1	25	5	2	2	1	2	13	2	0	1	1	0	1	1	3
2007-04	34	9	1	2	1	25	5	2	2	1	2	13	2	0	1	1	0	0	1	3
2007-05	32	9	1	2	1	26	6	3	2	1	2	15	2	0	1	1	0	0	1	3
2007-06	41	9	1	2	1	27	7	3	2	2	1	17	3	0	1	1	1	0	1	3
2007-07	38	9	1	2	1	28	5	4	2	2	1	17	2	0	1	1	1	0	1	3
2007-08	39	9	1	2	0	27	4	4	2	2	1	16	2	0	1	1	0	0	1	3
2007-09	54	10	1	2	0	25	4	4	2	1	2	16	2	0	1	1	0	1	2	3
2007-10	49	9	1	2	0	30	4	3	2	1	2	16	2	0	1	1	0	1	2	3
2007-11	50	11	1	2	1	26	3	2	2	0	2	17	2	0	1	1	0	1	6	3
2007-12	49	11	1	2	1	26	3	3	2	0	2	17	2	0	0	1	0	1	3	4
2008-01	47	9	1	2	1	28	3	2	2	0	2	17	2	0	1	1	0	1	2	3
2008-02	42	9	1	2	1	26	4	2	2	1	1	19	2	0	1	1	0	1	1	3
2008-03	41	9	1	2	1	27	5	3	2	1	2	18	2	0	1	1	0	1	1	4
2008-04	38	9	1	2	1	26	5	3	2	1	2	18	2	0	1	1	0	1	1	3
2008-05	38	9	1	2	1	26	7	3	3	1	2	24	3	0	1	1	0	1	1	4
2008-06	42	9	1	2	1	27	7	4	2	2	1	25	3	0	1	1	1	1	1	4
2008-07	47	9	1	2	1	28	5	5	2	3	1	26	3	0	1	1	1	1	1	4
2008-08	43	9	1	2	0	27	4	5	2	2	2	26	3	0	0	1	0	1	1	3
2008-09	51	10	1	2	1	26	3	4	2	1	2	28	2	0	0	1	0	1	1	3
2008-10	51	10	1	2	0	25	3	3	2	1	2	34	2	0	1	1	0	1	2	3
2008-11	49	11	1	2	1	26	3	3	2	1	2	44	3	0	0	1	0	2	7	4
2008-12	48	12	1	2	1	27	3	2	2	0	2	36	3	0	0	1	1	1	4	4
2009-01	42	10	1	2	1	28	3	2	2	1	2	32	2	0	1	1	0	1	2	4
2009-02	37	10	1	2	1	27	4	2	2	1	1	32	2	0	1	1	0	1	1	4
2009-03	38	10	1	2	1	26	5	2	2	1	2	31	2	0	1	1	0	1	1	4
2009-04	36	10	1	2	1	26	6	3	2	1	2	31	3	0	1	1	0	1	1	4
2009-05	35	10	1	2	1	26	7	3	3	2	2	31	3	0	1	1	0	1	1	4
2009-06	44	10	1	2	1	27	7	4	3	2	1	35	3	0	1	1	1	1	1	4
2009-07	38	10	1	2	1	27	5	4	3	3	1	36	3	0	1	1	1	1	1	4
2009-08	41	10	1	2	1	26	4	5	2	2	2	35	3	0	0	1	1	1	1	4
2009-09	50	10	1	2	1	25	4	4	2	1	2	32	2	0	1	1	0	1	2	4
2009-10	49	10	1	2	1	25	3	3	2	1	2	34	2	0	1	1	0	1	2	4
2009-11	48	12	1	2	1	27	3	2	2	1	2	36	3	0	1	1	0	2	7	4
2009-12	46	11	1	2	1	26	3	2	2	1	2	38	3	0	0	1	0	1	4	4
2010-01	55	10	1	2	1	29	4	2	2	1	1	33	2	0	1	1	0	1	2	4
2010-02	38	10	1	2	1	27	4	2	2	1	1	31	2	0	1	1	0	1	1	4
2010-03	37	10	1	2	1	27	5	2	2	1	2	32	3	0	1	1	0	1	1	4
2010-04	44	10	1	2	1	28	6	3	3	1	2	32	3	0	1	1	0	1	1	4
2010-05	42	10	1	2	1	28	8	3	3	2	2	33	3	0	1	1	1	1	1	4
2010-06	54	10	1	2	1	29	8	4	3	3	1	35	3	0	1	1	1	1	1	4
2010-07	48	10	1	2	1	28	5	5	3	3	1	36	3	0	1	1	1	1	1	4
2010-08	45	10	1	2	1	27	4	5	3	2	2	44	3	0	1	1	1	1	1	4
2010-09	56	10	1	2	1	26	4	4	2	2	2	38	2	0	0	1	0	1	2	4
2010-10	55	10	1	2	1	27	4	3	2	1	2	35	2	0	1	1	0	1	2	4
2010-11	55	11	1	2	1	26	3	2	2	1	2	36	3	0	1	1	0	2	6	4
2010-12	53	11	1	2	1	26	4	2	2	1	2	36	3	0	0	1	0	2	4	5
2011-01	52	11	1	2	1	32	4	3	2	1	2	26	3	0	1	1	0	1	2	5
2011-02	48	11	1	2	1	30	5	3	3	1	2	25	3	0	1	1	0	1	2	5
2011-03	58	11	1	2	1	31	6	3	3	1	2	22	3	0	1	1	0	1	1	5
2011-04	50	11	1	2	1	32	7	3	4	1	2	22	4	0	1	1	0	1	1	5
2011-05	50	11	2	2	1	32	9	3	4	2	2	22	4	0	1	1	1	1	1	5
2011-06	53	11	2	2	1	33	9	4	4	3	2	22	4	0	1	1	1	1	1	5
2011-07	53	11	2	2	1	32	7	6	4	4	2	22	4	0	1	1	1	1	2	5
2011-08	54	11	2	2	1	32	5	6	4	3	2	22	3	0	1	1	1	1	2	5
2011-09	60	11	1	3	1	31	4	5	4	2	2	18	3	2	1	1	0	1	2	5
2011-10	96	11	1	2	1	29	4	4	3	1	2	18	3	1	1	1	0	1	2	5
2011-11	72	12	1	2	1	28	4	3	2	1	2	16	3	0	1	1	0	2	7	5
2011-12	67	12	1	2	1	29	4	3	2	1	2	15	3	0	1	1	1	2	4	6
2012-01	56	11	2	2	1	32	4	3	3	1	2	13	3	0	1	1	0	1	2	6
2012-02	52	11	2	2	1	31	6	3	3	1	2	12	3	0	1	1	0	1	2	7
2012-03	63	12	2	2	1	31	6	3	4	1	2	11	3	0	1	1	0	1	2	6
2012-04	51	12	2	2	1	31	8	4	4	1	2	10	4	0	1	1	0	1	2	7
2012-05	49	12	2	2	1	32	9	4	4	3	2	10	4	0	1	1	1	1	2	6
2012-06	57	12	3	2	1	33	9	5	4	4	2	11	4	0	1	1	1	1	1	7
2012-07	53	12	3	2	1	35	7	7	4	4	2	12	4	1	1	1	1	1	2	7
2012-08	57	12	2	2	1	31	5	6	3	3	2	11	3	1	1	1	1	1	2	6
2012-09	92	12	2	3	1	29	4	5	3	2	2	10	3	0	1	1	0	1	2	6
2012-10	74	11	2	2	1	29	4	3	2	1	2	8	3	0	1	1	0	1	2	5
2012-11	71	13	2	2	1	28	4	3	2	1	2	9	3	0	0	1	0	2	8	6
2012-12	69	13	2	2	1	28	4	3	2	1	2	9	4	0	1	1	0	2	4	7
2013-01	55	12	3	2	2	30	5	3	3	1	2	10	3	0	1	1	0	2	2	8
2013-02	50	12	3	2	1	29	6	3	3	1	2	10	3	0	1	1	0	1	2	8
2013-03	49	13	3	2	1	30	7	4	3	1	2	10	4	0	1	1	1	1	2	8
2013-04	47	13	3	3	1	30	7	4	4	2	2	8	4	0	1	1	0	1	1	8
2013-05	47	13	3	4	1	31	9	4	4	3	2	8	5	0	1	1	1	1	2	8
2013-06	55	13	3	3	1	32	10	5	4	4	2	8	4	1	1	1	1	1	2	8
2013-07	51	13	3	2	1	38	7	7	4	5	2	8	4	1	1	1	1	1	2	8
2013-08	53	14	3	3	1	38	5	8	3	4	2	8	4	1	1	1	1	1	2	8
2013-09	86	13	2	3	1	33	4	5	3	2	2	8	3	0	1	1	0	1	2	7
2013-10	72	13	2	2	1	31	4	4	2	1	2	7	3	0	1	1	0	2	2	7
2013-11	68	14	2	2	1	30	4	4	2	1	2	6	4	0	1	1	0	3	8	8
2013-12	60	14	2	2	1	30	4	3	2	1	2	6	4	0	0	1	1	2	4	8
2014-01	51	13	3	2	1	34	5	3	3	1	2	5	4	0	1	1	0	1	2	9
2014-02	47	13	3	2	1	31	6	4	3	2	2	5	4	0	1	1	0	1	2	9
2014-03	45	13	3	2	1	31	6	4	3	2	2	5	4	0	1	1	0	1	2	10
2014-04	46	13	3	2	1	32	7	4	3	2	2	5	5	0	1	1	1	1	2	10
2014-05	45	13	3	2	1	33	9	5	4	4	2	4	5	1	1	1	1	1	2	9
2014-06	50	13	3	2	1	50	10	6	4	5	2	4	5	1	1	1	1	1	2	9
2014-07	48	13	3	2	1	42	7	8	4	6	2	5	5	1	1	1	1	1	2	9
2014-08	50	13	3	2	1	35	5	7	3	4	2	4	4	1	1	1	1	1	2	8
2014-09	100	13	2	2	1	32	4	5	3	2	2	4	4	0	1	1	0	1	2	8
2014-10	74	12	2	2	1	30	4	4	2	1	2	3	3	0	1	1	0	1	2	7
2014-11	66	14	2	2	1	28	4	4	2	1	2	3	4	0	1	1	0	2	8	8
2014-12	60	13	2	2	1	29	4	4	2	1	2	3	4	0	1	1	0	2	4	8
2015-01	52	12	3	2	2	31	5	4	3	1	2	3	4	0	1	1	0	1	2	10
2015-02	49	12	3	2	1	30	6	4	3	1	2	3	4	0	1	1	0	1	2	10
2015-03	59	13	3	2	2	30	7	4	3	1	2	3	4	0	1	1	1	1	2	10
2015-04	58	12	3	2	1	31	7	4	4	2	2	3	5	0	1	1	1	1	1	10
2015-05	54	13	3	2	1	31	9	5	4	4	2	3	5	1	1	1	1	1	1	9
2015-06	58	13	3	2	1	49	10	6	4	5	2	3	5	1	1	1	1	1	2	10
2015-07	59	14	3	2	1	39	7	8	4	6	2	4	5	1	1	1	1	1	2	10
2015-08	60	13	3	2	1	33	5	8	3	4	2	3	5	1	1	1	1	1	2	9
2015-09	87	12	3	2	1	31	4	5	3	3	2	3	4	0	1	1	0	1	2	8
2015-10	75	12	2	2	1	31	4	4	2	2	2	3	4	0	1	1	0	1	2	8
2015-11	71	13	2	2	1	28	4	4	2	1	2	3	4	0	1	1	0	2	8	9
2015-12	70	13	2	2	1	29	4	4	2	1	2	3	4	0	1	1	1	2	4	9
2016-01	57	12	4	2	2	32	5	4	3	1	2	2	4	0	1	1	1	1	2	11
2016-02	56	12	4	2	2	31	6	4	3	1	2	2	4	0	1	1	1	1	2	10
2016-03	57	13	4	2	2	32	7	5	3	2	2	2	5	0	1	1	1	1	2	10
2016-04	56	13	4	2	1	32	7	5	3	2	2	2	5	0	1	1	1	1	2	10
2016-05	53	13	4	2	1	33	9	6	4	4	2	2	6	1	1	1	1	1	2	10
2016-06	54	12	4	2	1	45	13	6	4	6	2	2	6	1	1	1	1	1	2	10
2016-07	53	12	4	2	1	37	8	8	4	6	2	3	6	1	1	1	1	1	2	10
2016-08	56	12	3	2	1	31	5	7	4	4	2	2	5	1	1	1	1	1	2	9
2016-09	86	12	3	3	1	31	5	6	3	3	2	2	4	0	1	1	0	1	2	9
2016-10	76	11	3	2	1	31	4	4	3	1	2	2	4	0	1	1	0	1	2	8
2016-11	74	12	2	2	1	29	4	4	2	1	2	2	5	0	1	1	0	2	8	9
2016-12	72	12	3	2	1	31	5	6	2	1	2	2	5	0	1	1	1	2	4	9
